Area of Residence,Year,Age at Death,Female,Male,_Total
Athy Town,2009,Under 1 year,1,1,2
Athy Town,2010,1 - 4 years,1,0,1
Athy Town,2010,10 - 14 years,1,0,1
Athy Town,2010,15 - 19 years,0,1,1
Athy Town,2010,20 - 24 years,1,1,2
Athy Town,2010,25 - 29 years,2,1,3
Athy Town,2010,30 - 34 years,0,1,1
Athy Town,2010,35 - 39 years,1,1,2
Athy Town,2010,40 - 44 years,0,1,1
Athy Town,2010,45 - 49 years,1,2,3
Athy Town,2010,5 - 9 years,0,1,1
Athy Town,2010,50 - 54 years,2,3,5
Athy Town,2010,55 - 59 years,2,4,6
Athy Town,2010,60 - 64 years,2,2,4
Athy Town,2010,65 - 69 years,1,5,6
Athy Town,2010,70 - 74 years,2,3,5
Athy Town,2010,75 - 79 years,2,1,3
Athy Town,2010,80 - 84 years,1,1,2
Athy Town,2010,85 years and over,4,5,9
Athy Town,2010,Under 1 year,1,1,2
Athy Town,2011,1 - 4 years,0,0,0
Athy Town,2011,10 - 14 years,0,0,0
Athy Town,2011,15 - 19 years,0,1,1
Athy Town,2011,20 - 24 years,0,0,0
Athy Town,2011,25 - 29 years,0,0,0
Athy Town,2011,30 - 34 years,0,0,0
Athy Town,2011,35 - 39 years,0,0,0
Athy Town,2011,40 - 44 years,1,3,4
Athy Town,2011,45 - 49 years,1,1,2
Athy Town,2011,5 - 9 years,0,0,0
Athy Town,2011,50 - 54 years,1,0,1
Athy Town,2011,55 - 59 years,1,4,5
Athy Town,2011,60 - 64 years,1,2,3
Athy Town,2011,65 - 69 years,6,10,16
Athy Town,2011,70 - 74 years,2,3,5
Athy Town,2011,75 - 79 years,3,5,8
Athy Town,2011,80 - 84 years,4,6,10
Athy Town,2011,85 years and over,8,5,13
Athy Town,2011,Under 1 year,0,0,0
Athy Town,2012,1 - 4 years,0,0,0
Athy Town,2012,10 - 14 years,0,0,0
Athy Town,2012,15 - 19 years,0,1,1
Athy Town,2012,20 - 24 years,0,0,0
Athy Town,2012,25 - 29 years,1,1,2
Athy Town,2012,30 - 34 years,0,0,0
Athy Town,2012,35 - 39 years,2,1,3
Athy Town,2012,40 - 44 years,1,3,4
Athy Town,2012,45 - 49 years,1,1,2
Athy Town,2012,5 - 9 years,0,0,0
Athy Town,2012,50 - 54 years,1,1,2
Athy Town,2012,55 - 59 years,5,2,7
Athy Town,2012,60 - 64 years,1,4,5
Athy Town,2012,65 - 69 years,2,6,8
Athy Town,2012,70 - 74 years,4,7,11
Athy Town,2012,75 - 79 years,8,7,15
Athy Town,2012,80 - 84 years,12,7,19
Athy Town,2012,85 years and over,18,6,24
Athy Town,2012,Under 1 year,0,4,4
Athy Town,2013,1 - 4 years,0,0,0
Athy Town,2013,10 - 14 years,0,0,0
Athy Town,2013,15 - 19 years,0,0,0
Athy Town,2013,20 - 24 years,0,1,1
Athy Town,2013,25 - 29 years,0,1,1
Athy Town,2013,30 - 34 years,0,1,1
Athy Town,2013,35 - 39 years,1,1,2
Athy Town,2013,40 - 44 years,0,0,0
Athy Town,2013,45 - 49 years,0,2,2
Athy Town,2013,5 - 9 years,0,0,0
Athy Town,2013,50 - 54 years,0,1,1
Athy Town,2013,55 - 59 years,1,1,2
Athy Town,2013,60 - 64 years,1,5,6
Athy Town,2013,65 - 69 years,3,5,8
Athy Town,2013,70 - 74 years,2,4,6
Athy Town,2013,75 - 79 years,4,4,8
Athy Town,2013,80 - 84 years,4,5,9
Athy Town,2013,85 years and over,18,2,20
Athy Town,2013,Under 1 year,0,1,1
Athy Town,2014,1 - 4 years,0,0,0
Athy Town,2014,10 - 14 years,0,0,0
Athy Town,2014,15 - 19 years,1,0,1
Athy Town,2014,20 - 24 years,1,1,2
Athy Town,2014,25 - 29 years,0,1,1
Athy Town,2014,30 - 34 years,1,1,2
Athy Town,2014,35 - 39 years,1,3,4
Athy Town,2014,40 - 44 years,0,1,1
Athy Town,2014,45 - 49 years,1,2,3
Athy Town,2014,5 - 9 years,0,0,0
Athy Town,2014,50 - 54 years,0,1,1
Athy Town,2014,55 - 59 years,3,1,4
Athy Town,2014,60 - 64 years,1,4,5
Athy Town,2014,65 - 69 years,1,1,2
Athy Town,2014,70 - 74 years,3,4,7
Athy Town,2014,75 - 79 years,6,3,9
Athy Town,2014,80 - 84 years,7,8,15
Athy Town,2014,85 years and over,13,3,16
Athy Town,2014,Under 1 year,0,1,1
Athy Town,2015,1 - 4 years,0,0,0
Athy Town,2015,10 - 14 years,0,0,0
Athy Town,2015,15 - 19 years,1,0,1
Athy Town,2015,20 - 24 years,1,1,2
Athy Town,2015,25 - 29 years,0,1,1
Athy Town,2015,30 - 34 years,1,1,2
Athy Town,2015,35 - 39 years,1,3,4
Athy Town,2015,40 - 44 years,0,1,1
Athy Town,2015,45 - 49 years,1,2,3
Athy Town,2015,5 - 9 years,0,0,0
Athy Town,2015,50 - 54 years,0,1,1
Athy Town,2015,55 - 59 years,3,1,4
Athy Town,2015,60 - 64 years,1,4,5
Athy Town,2015,65 - 69 years,1,1,2
Athy Town,2015,70 - 74 years,3,4,7
Athy Town,2015,75 - 79 years,6,3,9
Athy Town,2015,80 - 84 years,7,8,15
Athy Town,2015,85 years and over,13,3,16
Athy Town,2015,Under 1 year,0,1,1
Athy Town,2016,1 - 4 years,0,0,0
Athy Town,2016,10 - 14 years,0,0,0
Athy Town,2016,15 - 19 years,1,0,1
Athy Town,2016,20 - 24 years,1,1,2
Athy Town,2016,25 - 29 years,0,1,1
Athy Town,2016,30 - 34 years,1,1,2
Athy Town,2016,35 - 39 years,1,3,4
Athy Town,2016,40 - 44 years,0,1,1
Athy Town,2016,45 - 49 years,1,2,3
Athy Town,2016,5 - 9 years,0,0,0
Athy Town,2016,50 - 54 years,0,1,1
Athy Town,2016,55 - 59 years,3,1,4
Athy Town,2016,60 - 64 years,1,4,5
Athy Town,2016,65 - 69 years,1,1,2
Athy Town,2016,70 - 74 years,3,4,7
Athy Town,2016,75 - 79 years,6,3,9
Athy Town,2016,80 - 84 years,7,8,15
Athy Town,2016,85 years and over,13,3,16
Athy Town,2016,Under 1 year,0,1,1
Athy Town,2017,1 - 4 years,0,0,0
Athy Town,2017,10 - 14 years,0,0,0
Athy Town,2017,15 - 19 years,1,0,1
Athy Town,2017,20 - 24 years,1,1,2
Athy Town,2017,25 - 29 years,0,1,1
Athy Town,2017,30 - 34 years,1,1,2
Athy Town,2017,35 - 39 years,1,1,2
Athy Town,2017,40 - 44 years,1,3,4
Athy Town,2017,45 - 49 years,2,1,3
Athy Town,2017,5 - 9 years,0,0,0
Athy Town,2017,50 - 54 years,1,1,2
Athy Town,2017,55 - 59 years,2,1,3
Athy Town,2017,60 - 64 years,1,7,8
Athy Town,2017,65 - 69 years,3,4,7
Athy Town,2017,70 - 74 years,10,4,14
Athy Town,2017,75 - 79 years,4,6,10
Athy Town,2017,80 - 84 years,3,3,6
Athy Town,2017,85 years and over,13,7,20
Athy Town,2017,Under 1 year,0,2,2
Athy Town,2018,1 - 4 years,0,0,0
Athy Town,2018,10 - 14 years,0,0,0
Athy Town,2018,15 - 19 years,0,0,0
Athy Town,2018,20 - 24 years,0,0,0
Athy Town,2018,25 - 29 years,0,0,0
Athy Town,2018,30 - 34 years,0,1,1
Athy Town,2018,35 - 39 years,1,0,1
Athy Town,2018,40 - 44 years,1,1,2
Athy Town,2018,45 - 49 years,1,3,4
Athy Town,2018,5 - 9 years,0,0,0
Athy Town,2018,50 - 54 years,1,0,1
Athy Town,2018,55 - 59 years,0,0,0
Athy Town,2018,60 - 64 years,1,3,4
Athy Town,2018,65 - 69 years,1,5,6
Athy Town,2018,70 - 74 years,2,8,10
Athy Town,2018,75 - 79 years,4,5,9
Athy Town,2018,80 - 84 years,7,10,17
Athy Town,2018,85 years and over,10,2,12
Athy Town,2018,Under 1 year,0,0,0
Athy Town,2019,1 - 4 years,0,0,0
Athy Town,2019,10 - 14 years,0,0,0
Athy Town,2019,15 - 19 years,0,0,0
Athy Town,2019,20 - 24 years,0,0,0
Athy Town,2019,25 - 29 years,0,0,0
Athy Town,2019,30 - 34 years,0,1,1
Athy Town,2019,35 - 39 years,1,0,1
Athy Town,2019,40 - 44 years,1,1,2
Athy Town,2019,45 - 49 years,1,3,4
Athy Town,2019,5 - 9 years,0,0,0
Athy Town,2019,50 - 54 years,1,0,1
Athy Town,2019,55 - 59 years,0,0,0
Athy Town,2019,60 - 64 years,1,3,4
Athy Town,2019,65 - 69 years,1,5,6
Athy Town,2019,70 - 74 years,2,8,10
Athy Town,2019,75 - 79 years,4,5,9
Athy Town,2019,80 - 84 years,7,10,17
Athy Town,2019,85 years and over,10,2,12
Athy Town,2019,Under 1 year,0,0,0
Athy Town,2020,1 - 4 years,0,0,0
Athy Town,2020,10 - 14 years,0,0,0
Athy Town,2020,15 - 19 years,0,0,0
Athy Town,2020,20 - 24 years,0,0,0
Athy Town,2020,25 - 29 years,0,0,0
Athy Town,2020,30 - 34 years,0,1,1
Athy Town,2020,35 - 39 years,1,0,1
Athy Town,2020,40 - 44 years,1,1,2
Athy Town,2020,45 - 49 years,1,3,4
Athy Town,2020,5 - 9 years,0,0,0
Athy Town,2020,50 - 54 years,1,0,1
Athy Town,2020,55 - 59 years,0,0,0
Athy Town,2020,60 - 64 years,1,3,4
Athy Town,2020,65 - 69 years,1,5,6
Athy Town,2020,70 - 74 years,2,8,10
Athy Town,2020,75 - 79 years,4,5,9
Athy Town,2020,80 - 84 years,7,10,17
Athy Town,2020,85 years and over,10,2,12
Athy Town,2020,Under 1 year,0,0,0
Ballina Town,2007,1 - 4 years,0,0,0
Ballina Town,2007,10 - 14 years,0,0,0
Ballina Town,2007,15 - 19 years,0,0,0
Ballina Town,2007,20 - 24 years,0,1,1
Ballina Town,2007,25 - 29 years,0,1,1
Ballina Town,2007,30 - 34 years,1,1,2
Ballina Town,2007,35 - 39 years,1,2,3
Ballina Town,2007,40 - 44 years,0,1,1
Ballina Town,2007,45 - 49 years,0,3,3
Ballina Town,2007,5 - 9 years,0,0,0
Ballina Town,2007,50 - 54 years,5,2,7
Ballina Town,2007,55 - 59 years,1,6,7
Ballina Town,2007,60 - 64 years,5,6,11
Ballina Town,2007,65 - 69 years,3,12,15
Ballina Town,2007,70 - 74 years,10,7,17
Ballina Town,2007,75 - 79 years,10,6,16
Ballina Town,2007,80 - 84 years,16,10,26
Ballina Town,2007,85 years and over,29,16,45
Ballina Town,2007,Under 1 year,0,0,0
Ballina Town,2008,1 - 4 years,0,1,1
Ballina Town,2008,10 - 14 years,0,0,0
Ballina Town,2008,15 - 19 years,0,0,0
Ballina Town,2008,20 - 24 years,0,1,1
Ballina Town,2008,25 - 29 years,0,2,2
Ballina Town,2008,30 - 34 years,1,1,2
Ballina Town,2008,35 - 39 years,1,1,2
Ballina Town,2008,40 - 44 years,1,2,3
Ballina Town,2008,45 - 49 years,1,4,5
Ballina Town,2008,5 - 9 years,0,0,0
Ballina Town,2008,50 - 54 years,3,2,5
Ballina Town,2008,55 - 59 years,4,8,12
Ballina Town,2008,60 - 64 years,2,6,8
Ballina Town,2008,65 - 69 years,6,9,15
Ballina Town,2008,70 - 74 years,4,15,19
Ballina Town,2008,75 - 79 years,11,9,20
Ballina Town,2008,80 - 84 years,16,12,28
Ballina Town,2008,85 years and over,45,13,58
Ballina Town,2008,Under 1 year,1,0,1
Ballina Town,2009,1 - 4 years,1,1,2
Ballina Town,2009,10 - 14 years,0,0,0
Ballina Town,2009,15 - 19 years,0,0,0
Ballina Town,2009,20 - 24 years,0,1,1
Ballina Town,2009,25 - 29 years,0,1,1
Ballina Town,2009,30 - 34 years,1,1,2
Ballina Town,2009,35 - 39 years,1,1,2
Ballina Town,2009,40 - 44 years,1,2,3
Ballina Town,2009,45 - 49 years,1,2,3
Ballina Town,2009,5 - 9 years,0,0,0
Ballina Town,2009,50 - 54 years,3,1,4
Ballina Town,2009,55 - 59 years,3,3,6
Ballina Town,2009,60 - 64 years,3,3,6
Ballina Town,2009,65 - 69 years,1,5,6
Ballina Town,2009,70 - 74 years,2,2,4
Ballina Town,2009,75 - 79 years,6,6,12
Ballina Town,2009,80 - 84 years,2,9,11
Ballina Town,2009,85 years and over,13,6,19
Ballina Town,2009,Under 1 year,1,0,1
Ballina Town,2010,1 - 4 years,1,1,2
Ballina Town,2010,10 - 14 years,0,0,0
Ballina Town,2010,15 - 19 years,0,1,1
Ballina Town,2010,20 - 24 years,0,1,1
Ballina Town,2010,25 - 29 years,0,1,1
Ballina Town,2010,30 - 34 years,1,1,2
Ballina Town,2010,35 - 39 years,1,1,2
Ballina Town,2010,40 - 44 years,1,2,3
Ballina Town,2010,45 - 49 years,1,2,3
Ballina Town,2010,5 - 9 years,0,0,0
Ballina Town,2010,50 - 54 years,2,2,4
Ballina Town,2010,55 - 59 years,1,2,3
Ballina Town,2010,60 - 64 years,5,4,9
Ballina Town,2010,65 - 69 years,3,8,11
Ballina Town,2010,70 - 74 years,3,2,5
Ballina Town,2010,75 - 79 years,8,8,16
Ballina Town,2010,80 - 84 years,12,7,19
Ballina Town,2010,85 years and over,24,10,34
Ballina Town,2010,Under 1 year,1,1,2
Ballina Town,2011,1 - 4 years,0,0,0
Ballina Town,2011,10 - 14 years,1,0,1
Ballina Town,2011,15 - 19 years,0,1,1
Ballina Town,2011,20 - 24 years,0,0,0
Ballina Town,2011,25 - 29 years,0,0,0
Ballina Town,2011,30 - 34 years,1,1,2
Ballina Town,2011,35 - 39 years,0,1,1
Ballina Town,2011,40 - 44 years,0,0,0
Ballina Town,2011,45 - 49 years,0,0,0
Ballina Town,2011,5 - 9 years,0,0,0
Ballina Town,2011,50 - 54 years,2,2,4
Ballina Town,2011,55 - 59 years,1,1,2
Ballina Town,2011,60 - 64 years,4,2,6
Ballina Town,2011,65 - 69 years,5,3,8
Ballina Town,2011,70 - 74 years,0,8,8
Ballina Town,2011,75 - 79 years,4,5,9
Ballina Town,2011,80 - 84 years,3,6,9
Ballina Town,2011,85 years and over,19,5,24
Ballina Town,2011,Under 1 year,0,0,0
Ballina Town,2012,1 - 4 years,0,0,0
Ballina Town,2012,10 - 14 years,1,0,1
Ballina Town,2012,15 - 19 years,0,1,1
Ballina Town,2012,20 - 24 years,0,0,0
Ballina Town,2012,25 - 29 years,0,1,1
Ballina Town,2012,30 - 34 years,1,1,2
Ballina Town,2012,35 - 39 years,0,1,1
Ballina Town,2012,40 - 44 years,1,1,2
Ballina Town,2012,45 - 49 years,0,1,1
Ballina Town,2012,5 - 9 years,0,0,0
Ballina Town,2012,50 - 54 years,2,2,4
Ballina Town,2012,55 - 59 years,1,1,2
Ballina Town,2012,60 - 64 years,4,2,6
Ballina Town,2012,65 - 69 years,5,4,9
Ballina Town,2012,70 - 74 years,5,10,15
Ballina Town,2012,75 - 79 years,3,11,14
Ballina Town,2012,80 - 84 years,9,9,18
Ballina Town,2012,85 years and over,19,16,35
Ballina Town,2012,Under 1 year,0,2,2
Ballina Town,2013,1 - 4 years,0,0,0
Ballina Town,2013,10 - 14 years,0,0,0
Ballina Town,2013,15 - 19 years,0,0,0
Ballina Town,2013,20 - 24 years,0,0,0
Ballina Town,2013,25 - 29 years,1,1,2
Ballina Town,2013,30 - 34 years,0,1,1
Ballina Town,2013,35 - 39 years,1,0,1
Ballina Town,2013,40 - 44 years,1,1,2
Ballina Town,2013,45 - 49 years,0,1,1
Ballina Town,2013,5 - 9 years,0,0,0
Ballina Town,2013,50 - 54 years,0,1,1
Ballina Town,2013,55 - 59 years,1,1,2
Ballina Town,2013,60 - 64 years,2,5,7
Ballina Town,2013,65 - 69 years,4,5,9
Ballina Town,2013,70 - 74 years,4,7,11
Ballina Town,2013,75 - 79 years,5,5,10
Ballina Town,2013,80 - 84 years,7,5,12
Ballina Town,2013,85 years and over,18,13,31
Ballina Town,2013,Under 1 year,0,0,0
Ballina Town,2014,1 - 4 years,0,0,0
Ballina Town,2014,10 - 14 years,0,0,0
Ballina Town,2014,15 - 19 years,0,0,0
Ballina Town,2014,20 - 24 years,0,1,1
Ballina Town,2014,25 - 29 years,1,1,2
Ballina Town,2014,30 - 34 years,0,1,1
Ballina Town,2014,35 - 39 years,1,0,1
Ballina Town,2014,40 - 44 years,2,2,4
Ballina Town,2014,45 - 49 years,0,1,1
Ballina Town,2014,5 - 9 years,0,1,1
Ballina Town,2014,50 - 54 years,0,2,2
Ballina Town,2014,55 - 59 years,1,2,3
Ballina Town,2014,60 - 64 years,1,2,3
Ballina Town,2014,65 - 69 years,2,4,6
Ballina Town,2014,70 - 74 years,3,5,8
Ballina Town,2014,75 - 79 years,6,2,8
Ballina Town,2014,80 - 84 years,8,7,15
Ballina Town,2014,85 years and over,22,7,29
Ballina Town,2014,Under 1 year,1,1,2
Ballina Town,2015,1 - 4 years,0,0,0
Ballina Town,2015,10 - 14 years,0,0,0
Ballina Town,2015,15 - 19 years,0,0,0
Ballina Town,2015,20 - 24 years,0,1,1
Ballina Town,2015,25 - 29 years,1,1,2
Ballina Town,2015,30 - 34 years,0,1,1
Ballina Town,2015,35 - 39 years,1,0,1
Ballina Town,2015,40 - 44 years,2,2,4
Ballina Town,2015,45 - 49 years,0,1,1
Ballina Town,2015,5 - 9 years,0,1,1
Ballina Town,2015,50 - 54 years,0,2,2
Ballina Town,2015,55 - 59 years,1,2,3
Ballina Town,2015,60 - 64 years,1,2,3
Ballina Town,2015,65 - 69 years,2,4,6
Ballina Town,2015,70 - 74 years,3,5,8
Ballina Town,2015,75 - 79 years,6,2,8
Ballina Town,2015,80 - 84 years,8,7,15
Ballina Town,2015,85 years and over,22,7,29
Ballina Town,2015,Under 1 year,1,1,2
Ballina Town,2016,1 - 4 years,0,0,0
Ballina Town,2016,10 - 14 years,0,0,0
Ballina Town,2016,15 - 19 years,0,0,0
Ballina Town,2016,20 - 24 years,0,1,1
Ballina Town,2016,25 - 29 years,1,1,2
Ballina Town,2016,30 - 34 years,0,1,1
Ballina Town,2016,35 - 39 years,1,0,1
Ballina Town,2016,40 - 44 years,2,2,4
Ballina Town,2016,45 - 49 years,0,1,1
Ballina Town,2016,5 - 9 years,0,1,1
Ballina Town,2016,50 - 54 years,0,2,2
Ballina Town,2016,55 - 59 years,1,2,3
Ballina Town,2016,60 - 64 years,1,2,3
Ballina Town,2016,65 - 69 years,2,4,6
Ballina Town,2016,70 - 74 years,3,5,8
Ballina Town,2016,75 - 79 years,6,2,8
Ballina Town,2016,80 - 84 years,8,7,15
Ballina Town,2016,85 years and over,22,7,29
Ballina Town,2016,Under 1 year,1,1,2
Ballina Town,2017,1 - 4 years,0,1,1
Ballina Town,2017,10 - 14 years,0,0,0
Ballina Town,2017,15 - 19 years,0,1,1
Ballina Town,2017,20 - 24 years,0,1,1
Ballina Town,2017,25 - 29 years,1,1,2
Ballina Town,2017,30 - 34 years,0,1,1
Ballina Town,2017,35 - 39 years,1,0,1
Ballina Town,2017,40 - 44 years,2,1,3
Ballina Town,2017,45 - 49 years,1,1,2
Ballina Town,2017,5 - 9 years,0,1,1
Ballina Town,2017,50 - 54 years,0,2,2
Ballina Town,2017,55 - 59 years,1,3,4
Ballina Town,2017,60 - 64 years,2,2,4
Ballina Town,2017,65 - 69 years,3,3,6
Ballina Town,2017,70 - 74 years,4,7,11
Ballina Town,2017,75 - 79 years,3,8,11
Ballina Town,2017,80 - 84 years,6,5,11
Ballina Town,2017,85 years and over,17,16,33
Ballina Town,2017,Under 1 year,1,1,2
Ballina Town,2018,1 - 4 years,0,0,0
Ballina Town,2018,10 - 14 years,0,0,0
Ballina Town,2018,15 - 19 years,0,0,0
Ballina Town,2018,20 - 24 years,0,1,1
Ballina Town,2018,25 - 29 years,1,0,1
Ballina Town,2018,30 - 34 years,0,1,1
Ballina Town,2018,35 - 39 years,0,2,2
Ballina Town,2018,40 - 44 years,0,1,1
Ballina Town,2018,45 - 49 years,0,1,1
Ballina Town,2018,5 - 9 years,0,0,0
Ballina Town,2018,50 - 54 years,1,0,1
Ballina Town,2018,55 - 59 years,2,3,5
Ballina Town,2018,60 - 64 years,1,3,4
Ballina Town,2018,65 - 69 years,4,8,12
Ballina Town,2018,70 - 74 years,5,9,14
Ballina Town,2018,75 - 79 years,3,6,9
Ballina Town,2018,80 - 84 years,2,7,9
Ballina Town,2018,85 years and over,17,13,30
Ballina Town,2018,Under 1 year,0,0,0
Ballina Town,2019,1 - 4 years,0,0,0
Ballina Town,2019,10 - 14 years,0,0,0
Ballina Town,2019,15 - 19 years,0,0,0
Ballina Town,2019,20 - 24 years,0,1,1
Ballina Town,2019,25 - 29 years,1,0,1
Ballina Town,2019,30 - 34 years,0,1,1
Ballina Town,2019,35 - 39 years,0,2,2
Ballina Town,2019,40 - 44 years,0,1,1
Ballina Town,2019,45 - 49 years,0,1,1
Ballina Town,2019,5 - 9 years,0,0,0
Ballina Town,2019,50 - 54 years,1,0,1
Ballina Town,2019,55 - 59 years,2,3,5
Ballina Town,2019,60 - 64 years,1,3,4
Ballina Town,2019,65 - 69 years,4,8,12
Ballina Town,2019,70 - 74 years,5,9,14
Ballina Town,2019,75 - 79 years,3,6,9
Ballina Town,2019,80 - 84 years,2,7,9
Ballina Town,2019,85 years and over,17,13,30
Ballina Town,2019,Under 1 year,0,0,0
Ballina Town,2020,1 - 4 years,0,0,0
Ballina Town,2020,10 - 14 years,0,0,0
Ballina Town,2020,15 - 19 years,0,0,0
Ballina Town,2020,20 - 24 years,0,1,1
Ballina Town,2020,25 - 29 years,1,0,1
Ballina Town,2020,30 - 34 years,0,1,1
Ballina Town,2020,35 - 39 years,0,2,2
Ballina Town,2020,40 - 44 years,0,1,1
Ballina Town,2020,45 - 49 years,0,1,1
Ballina Town,2020,5 - 9 years,0,0,0
Ballina Town,2020,50 - 54 years,1,0,1
Ballina Town,2020,55 - 59 years,2,3,5
Ballina Town,2020,60 - 64 years,1,3,4
Ballina Town,2020,65 - 69 years,4,8,12
Ballina Town,2020,70 - 74 years,5,9,14
Ballina Town,2020,75 - 79 years,3,6,9
Ballina Town,2020,80 - 84 years,2,7,9
Ballina Town,2020,85 years and over,17,13,30
Ballina Town,2020,Under 1 year,0,0,0
Ballinasloe Town,2007,1 - 4 years,0,0,0
Ballinasloe Town,2007,10 - 14 years,0,0,0
Ballinasloe Town,2007,15 - 19 years,0,0,0
Ballinasloe Town,2007,20 - 24 years,0,1,1
Ballinasloe Town,2007,25 - 29 years,1,0,1
Ballinasloe Town,2007,30 - 34 years,0,2,2
Ballinasloe Town,2007,35 - 39 years,0,0,0
Ballinasloe Town,2007,40 - 44 years,1,1,2
Ballinasloe Town,2007,45 - 49 years,0,1,1
Ballinasloe Town,2007,5 - 9 years,0,0,0
Ballinasloe Town,2007,50 - 54 years,0,2,2
Ballinasloe Town,2007,55 - 59 years,1,3,4
Ballinasloe Town,2007,60 - 64 years,3,7,10
Ballinasloe Town,2007,65 - 69 years,2,9,11
Ballinasloe Town,2007,70 - 74 years,7,8,15
Ballinasloe Town,2007,75 - 79 years,9,16,25
Ballinasloe Town,2007,80 - 84 years,11,12,23
Ballinasloe Town,2007,85 years and over,22,17,39
Ballinasloe Town,2007,Under 1 year,0,1,1
Ballinasloe Town,2008,1 - 4 years,0,0,0
Ballinasloe Town,2008,10 - 14 years,0,0,0
Ballinasloe Town,2008,15 - 19 years,0,1,1
Ballinasloe Town,2008,20 - 24 years,0,1,1
Ballinasloe Town,2008,25 - 29 years,1,2,3
Ballinasloe Town,2008,30 - 34 years,0,1,1
Ballinasloe Town,2008,35 - 39 years,2,2,4
Ballinasloe Town,2008,40 - 44 years,1,2,3
Ballinasloe Town,2008,45 - 49 years,1,5,6
Ballinasloe Town,2008,5 - 9 years,0,0,0
Ballinasloe Town,2008,50 - 54 years,2,1,3
Ballinasloe Town,2008,55 - 59 years,2,1,3
Ballinasloe Town,2008,60 - 64 years,1,5,6
Ballinasloe Town,2008,65 - 69 years,6,6,12
Ballinasloe Town,2008,70 - 74 years,4,12,16
Ballinasloe Town,2008,75 - 79 years,16,20,36
Ballinasloe Town,2008,80 - 84 years,13,22,35
Ballinasloe Town,2008,85 years and over,39,21,60
Ballinasloe Town,2008,Under 1 year,0,1,1
Ballinasloe Town,2009,1 - 4 years,0,0,0
Ballinasloe Town,2009,10 - 14 years,0,0,0
Ballinasloe Town,2009,15 - 19 years,0,1,1
Ballinasloe Town,2009,20 - 24 years,0,1,1
Ballinasloe Town,2009,25 - 29 years,1,2,3
Ballinasloe Town,2009,30 - 34 years,1,1,2
Ballinasloe Town,2009,35 - 39 years,2,2,4
Ballinasloe Town,2009,40 - 44 years,1,2,3
Ballinasloe Town,2009,45 - 49 years,1,5,6
Ballinasloe Town,2009,5 - 9 years,0,1,1
Ballinasloe Town,2009,50 - 54 years,1,3,4
Ballinasloe Town,2009,55 - 59 years,1,2,3
Ballinasloe Town,2009,60 - 64 years,1,3,4
Ballinasloe Town,2009,65 - 69 years,5,3,8
Ballinasloe Town,2009,70 - 74 years,4,2,6
Ballinasloe Town,2009,75 - 79 years,1,7,8
Ballinasloe Town,2009,80 - 84 years,10,4,14
Ballinasloe Town,2009,85 years and over,9,10,19
Ballinasloe Town,2009,Under 1 year,1,1,2
Ballinasloe Town,2010,1 - 4 years,0,0,0
Ballinasloe Town,2010,10 - 14 years,0,0,0
Ballinasloe Town,2010,15 - 19 years,0,1,1
Ballinasloe Town,2010,20 - 24 years,0,1,1
Ballinasloe Town,2010,25 - 29 years,1,2,3
Ballinasloe Town,2010,30 - 34 years,1,1,2
Ballinasloe Town,2010,35 - 39 years,2,1,3
Ballinasloe Town,2010,40 - 44 years,1,2,3
Ballinasloe Town,2010,45 - 49 years,1,1,2
Ballinasloe Town,2010,5 - 9 years,0,1,1
Ballinasloe Town,2010,50 - 54 years,1,1,2
Ballinasloe Town,2010,55 - 59 years,1,2,3
Ballinasloe Town,2010,60 - 64 years,3,2,5
Ballinasloe Town,2010,65 - 69 years,2,3,5
Ballinasloe Town,2010,70 - 74 years,4,6,10
Ballinasloe Town,2010,75 - 79 years,10,6,16
Ballinasloe Town,2010,80 - 84 years,1,7,8
Ballinasloe Town,2010,85 years and over,13,10,23
Ballinasloe Town,2010,Under 1 year,1,1,2
Ballinasloe Town,2011,1 - 4 years,0,0,0
Ballinasloe Town,2011,10 - 14 years,0,0,0
Ballinasloe Town,2011,15 - 19 years,0,0,0
Ballinasloe Town,2011,20 - 24 years,0,0,0
Ballinasloe Town,2011,25 - 29 years,0,0,0
Ballinasloe Town,2011,30 - 34 years,0,1,1
Ballinasloe Town,2011,35 - 39 years,0,0,0
Ballinasloe Town,2011,40 - 44 years,0,0,0
Ballinasloe Town,2011,45 - 49 years,1,0,1
Ballinasloe Town,2011,5 - 9 years,0,0,0
Ballinasloe Town,2011,50 - 54 years,0,1,1
Ballinasloe Town,2011,55 - 59 years,1,4,5
Ballinasloe Town,2011,60 - 64 years,1,0,1
Ballinasloe Town,2011,65 - 69 years,5,2,7
Ballinasloe Town,2011,70 - 74 years,0,0,0
Ballinasloe Town,2011,75 - 79 years,1,6,7
Ballinasloe Town,2011,80 - 84 years,1,3,4
Ballinasloe Town,2011,85 years and over,10,4,14
Ballinasloe Town,2011,Under 1 year,0,0,0
Ballinasloe Town,2012,1 - 4 years,0,0,0
Ballinasloe Town,2012,10 - 14 years,0,0,0
Ballinasloe Town,2012,15 - 19 years,0,0,0
Ballinasloe Town,2012,20 - 24 years,0,1,1
Ballinasloe Town,2012,25 - 29 years,0,0,0
Ballinasloe Town,2012,30 - 34 years,1,1,2
Ballinasloe Town,2012,35 - 39 years,0,2,2
Ballinasloe Town,2012,40 - 44 years,0,0,0
Ballinasloe Town,2012,45 - 49 years,2,3,5
Ballinasloe Town,2012,5 - 9 years,0,0,0
